업종명,업소명,소재지(도로명),소재지전화
일반음식점,샹하이,"서울특별시 송파구 석촌호수로 82, 지상1층 (잠실동)",02-416-2283
일반음식점,영월식당,"서울특별시 송파구 마천로51가길 2, 지상1층 (마천동)",02-400-2665
일반음식점,영미식당,"서울특별시 송파구 충민로 81-14, 1,2,3층 (문정동)",02-402-1007
일반음식점,국일반점,서울특별시 송파구 마천로 345-1 (마천동),02-406-1798
일반음식점,부산회집,"서울특별시 송파구 올림픽로35길 94 (신천동,장미C상가 2,3,4호)",02-418-4624
일반음식점,진성원,"서울특별시 송파구 풍성로 34, 지상1층 (풍납동)",02-478-5390
일반음식점,그램그램 천호역점,"서울특별시 송파구 올림픽로 613, 지상1층 (풍납동)",02-477-9279
일반음식점,봉황숯불갈비,서울특별시 송파구 가락로18길 4 (송파동),02-413-3486
일반음식점,대성추탕,"서울특별시 송파구 백제고분로 36-8, 24호 (석촌동)",02-0422-9661
일반음식점,제일맛있는집,"서울특별시 송파구 송파대로 567, B-11호 (잠실동, 잠실역지하상가)",02-416-7177
일반음식점,진미옥설농탕,"서울특별시 송파구 가락로16길 3-12, 지상1층 (석촌동)",02-416-0505
일반음식점,명동스넥,"서울특별시 송파구 올림픽로35길 94 (신천동,장미C상가 지하8)",02-402-8624
일반음식점,전주분식,서울특별시 송파구 백제고분로7길 58 (잠실동),02-414-7083
일반음식점,대성삼합,서울특별시 송파구 삼학사로 91 (삼전동),02-413-4594
일반음식점,옛고을식당,"서울특별시 송파구 성내천로 264-1, 지상1층 (마천동)",02-400-7363
일반음식점,부일갈매기집,서울특별시 송파구 삼전로13길 4 (잠실동),02-412-1462
일반음식점,잠실 생삼겹살,서울특별시 송파구 석촌호수로12길 10 (잠실동),02-413-7667
일반음식점,신흥 속초코다리,서울특별시 송파구 석촌호수로12길 10 (잠실동),02-423-3065
일반음식점,하얼빈 양꼬치,"서울특별시 송파구 백제고분로17길 45, 지상1층 (잠실동)",02-421-9288
일반음식점,보성각,서울특별시 송파구 바람드리길 53 (풍납동),02-478-5807
일반음식점,장원곱창,"서울특별시 송파구 올림픽로32길 9 (방이동,지상1층)",02-418-1213
일반음식점,오로라,"서울특별시 송파구 백제고분로39길 33, 지상1층 (석촌동)",02-413-0935
일반음식점,용산분식(서울7거8648),서울특별시 송파구 석촌호수로 156 (삼전동),02-418-1643
일반음식점,교촌치킨 방이2호점,서울특별시 송파구 오금로11길 22 (방이동),02-413-2764
일반음식점,가미분식,"서울특별시 송파구 송파대로38길 4, 지하1층 (송파동)",02-422-8475
일반음식점,유원,서울특별시 송파구 삼전로 90 (삼전동),02-414-2202
일반음식점,오대양 참치,서울특별시 송파구 오금로15길 6 (방이동),02-424-2727
일반음식점,비서실,서울특별시 송파구 가락로 71 (석촌동),02-0414-4711
